Node,Latitude,Longitude
Junction_1,338484.910822,4696545.187423
Junction_10,338956.793562,4696040.186671
Junction_100,337944.749356,4696593.923645
Junction_1000,337237.455703,4695663.824077
Junction_1001,337388.907913,4695517.749963
Junction_1002,337360.296075,4695528.507503
Junction_1003,337495.976526,4695669.421028
Junction_1004,337496.541687,4695669.054549
Junction_1005,337496.823567,4695673.066995
Junction_1006,337498.132199,4695672.894944
Junction_1007,337497.446496,4695685.975604
Junction_1008,337500.046539,4695686.333272
Junction_1009,337497.423069,4695688.316593
Junction_101,337220.9648,4695644.009376
Junction_1010,337493.794722,4695688.381069
Junction_1011,337497.384974,4695691.294279
Junction_1012,337385.981588,4695496.692617
Junction_1013,337387.221189,4695496.221215
Junction_1014,337385.628925,4695493.660018
Junction_1015,337383.464392,4695493.950258
Junction_1016,337382.290668,4695474.191432
Junction_1017,337384.122862,4695473.725537
Junction_1018,337385.115224,4695490.083031
Junction_1019,337383.049957,4695490.378777
Junction_102,338897.875305,4696349.53308
Junction_1020,337380.868003,4695465.823138
Junction_1021,337382.678872,4695465.777284
Junction_1022,337388.680046,4695516.259869
Junction_1023,337367.344825,4695463.133289
Junction_1024,337368.462433,4695463.386986
Junction_1025,337353.703359,4695473.527905
Junction_1026,337355.370761,4695473.404761
Junction_1027,337352.239296,4695481.28113
Junction_1028,337354.479518,4695481.360322
Junction_1029,337355.355093,4695500.574761
Junction_103,338895.042139,4696348.282666
Junction_1030,337353.333076,4695501.246047
Junction_1031,337357.226383,4695504.873392
Junction_1032,337359.52227,4695504.462261
Junction_1033,337357.96755,4695508.625784
Junction_1034,337359.997576,4695508.410782
Junction_1035,337360.042078,4695527.035931
Junction_1036,337254.654783,4695574.302702
Junction_1037,337252.611942,4695572.178616
Junction_1038,337239.968094,4695608.46033
Junction_1039,337239.489183,4695607.695435
Junction_104,338896.315729,4696354.673346
Junction_1040,337284.758116,4695675.23263
Junction_1041,337497.394335,4695677.750076
Junction_1042,337498.326826,4695677.586435
Junction_1043,337499.883348,4695684.128642
Junction_1044,337498.704168,4695684.096805
Junction_1045,337485.979876,4695691.181196
Junction_1046,337483.106112,4695658.865924
Junction_1047,337465.292513,4695659.695746
Junction_1048,337466.053454,4695660.300003
Junction_1049,337461.973128,4695653.987114
Junction_105,338876.745374,4696376.67815
Junction_1050,337461.764234,4695656.327053
Junction_1051,337494.269177,4695662.131747
Junction_1052,337492.775079,4695662.012357
Junction_1053,337287.337835,4695679.996906
Junction_1054,337290.222662,4695680.121752
Junction_1055,337286.31624,4695694.191469
Junction_1056,337286.890512,4695697.213006
Junction_1057,337285.243384,4695697.692617
